Book_page,Year,Site,Nest_ID,Species,Observer,Date_found,how_found,Clutch_max,floatAge,ageMethod
,2014,chur,14HPE1,sepl,,2014-06-14,,3,,
,2007,barr,07barrsesa309,sesa,haase,2007-06-14,single,4,,
,2007,barr,07barrsesa310,sesa,haase,2007-06-14,single,4,,
,2007,barr,07barrsesa903,sesa,chiang,2007-06-12,single,4,,
,2013,burn,13burnlesade01,lesa,dedwards,2013-06-26,searcher,4,,hatch
,2010,made,10madeamgp001,amgp,lpirie,2010-06-17,searcher,4,,
3.27,2004,barr,04barrdunl111,dunl,taylor,2004-06-24,rope,3,,float
18.21,2006,barr,06barrbbsa405,bbsa,boadways,2006-06-20,single,3,,
19.03,2006,barr,06barrreph517,reph,boadways,2006-06-24,single,3,,
,2007,barr,07barramgp904,amgp,chiang,2007-06-11,single,3,,
,2007,barr,07barrpesa56,pesa,ataylor,2007-06-12,single,3,,
,2007,barr,07barrsesa308,sesa,haase,2007-06-13,single,3,,
,2007,barr,07barrsesa911,sesa,chiang,2007-06-15,single,3,,
13.17,2010,barr,10barrdunl108,dunl,bhill,2010-06-15,single,3,,
,2010,eaba,10eababba01,bbpl,eaba_crew,2010-06-20,searcher,3,26,float
,2010,eaba,10eabarpdm01,reph,eaba_crew,2010-06-20,searcher,3,20,float
,2010,eaba,10eabarpk02,reph,eaba_crew,2010-06-24,searcher,3,19,float
,2010,eaba,10eabarpk03,reph,eaba_crew,2010-06-25,searcher,3,19,float
,2010,eaba,10eabaruk12,rutu,eaba_crew,2010-07-08,searcher,3,22.5,float
,2010,eaba,10eabawrk02,wrsa,eaba_crew,2010-06-20,searcher,3,22,float
,2013,prba,13prba13bwr022,reph,brobinson,2013-06-17,searcher,4,,hatch
22.1,2009,barr,09barrdunl055,dunl,pmickelson,2009-06-11,single,4,,lay
15.13,2010,barr,10barrpesa406,pesa,ehsu,2010-06-18,single,2,,
15.17,2010,barr,10barrpesa408,pesa,ehsu,2010-06-18,single,2,,
,2014,cakr,14cakrtusw003,tusw,mmcconnell,2014-05-26,searcher,2,,hatch
,2010,eaba,10eaba41883,sepl,eaba_crew,2010-06-19,searcher,2,26,float
,2010,eaba,10eabarpa05,reph,eaba_crew,2010-07-04,searcher,2,19,float
,2010,eaba,10eabarpk06,reph,eaba_crew,2010-07-08,searcher,2,19,float
,2010,eaba,10eabarudm09,rutu,eaba_crew,2010-07-05,searcher,2,24,float
,2010,eaba,10eabasek02,sepl,eaba_crew,2010-07-03,searcher,2,24,float
,2010,eaba,10eabawra01,wrsa,eaba_crew,2010-06-22,searcher,2,24,float
,2010,eaba,10eabawrd03,wrsa,eaba_crew,2010-06-20,searcher,2,24,float
,2010,eaba,10eabawrk01,wrsa,eaba_crew,2010-06-19,searcher,2,22,float
,2010,eaba,10eabawrm09,wrsa,eaba_crew,2010-07-09,searcher,2,22,float
,2010,bylo,10byloamgpjfl31,amgp,jflamarre,2010-07-11,incidental,3,19,float
,2014,bylo,14byloamgpfl01,amgp,flapierrepoulin,2014-06-17,incidental,3,16,float
,2014,bylo,14bylobasadl01,basa,dleandribreton,2014-06-18,incidental,3,0,float
,2014,bylo,14byloreknjl01,rekn,jflamarre,2014-06-16,incidental,3,0,float
,2010,eaba,10eababba04,bbpl,eaba_crew,2010-06-27,searcher,1,28,float
,2010,eaba,10eababbk01,bbpl,eaba_crew,2010-06-21,searcher,1,28,float
,2010,eaba,10eabarpa04,reph,eaba_crew,2010-07-04,searcher,1,19,float
,2010,eaba,10eabarpk07,reph,eaba_crew,2010-07-08,searcher,1,19,float
,2010,eaba,10eabarpk08,reph,eaba_crew,2010-07-08,searcher,1,19,float
,2010,eaba,10eabarpm01,reph,eaba_crew,2010-06-26,searcher,1,19,float
,2010,eaba,10eabarpm02,reph,eaba_crew,2010-06-26,searcher,1,19,float
,2010,eaba,10eabased01,sepl,eaba_crew,2010-06-22,searcher,1,26,float
,2010,eaba,10eabasem01,sepl,eaba_crew,2010-06-24,searcher,1,27,float
,2010,eaba,10eabawra03,wrsa,eaba_crew,2010-07-02,searcher,1,25,float
,2010,eaba,10eabawrk03,wrsa,eaba_crew,2010-06-21,searcher,1,25,float
,2010,eaba,10eabawrm03,wrsa,eaba_crew,2010-06-27,searcher,1,25,float
,2013,prba,13prba13bwr014,lbdo,cdavis,2013-06-14,rope,3,,lay
2.09,2003,barr,03barrdunl203,dunl,burle,2003-06-12,rapid,4,,float
2.08,2003,barr,03barrdunl303,dunl,trask,2003-06-10,single,4,,float
3.06,2003,barr,03barrdunl304,dunl,trask,2003-06-14,rope,4,2,float
