Year,Site,Start,End,Observer
2005,bylo,2005-06-01,2005-08-05,lmckinnon
2005,bylo,2005-06-01,2005-08-20,blaliberte
2006,bylo,2006-06-01,2006-08-05,lmckinnon
2006,bylo,2006-06-01,2006-08-20,ljolicoeur
2007,bylo,2007-06-01,2007-08-05,lmckinnon
2007,bylo,2007-06-01,2007-08-20,ljolicoeur
2008,bylo,2008-06-01,2008-08-05,edastous
2008,bylo,2008-06-01,2008-08-05,lmckinnon
2008,bylo,2008-06-01,2008-08-20,mpatenaudemonette
2009,bylo,2009-06-01,2009-08-05,jflamarre
2009,bylo,2009-06-01,2009-08-05,lmckinnon
2009,bylo,2009-06-01,2009-08-05,lmercier
2010,barr,2010-06-28,2010-07-01,mwunder
2010,barr,2010-06-18,2010-06-25,loring
2010,barr,2010-06-20,2010-07-05,rlanctot
2010,barr,2010-07-01,2010-07-16,cjoseruizguerra
2010,barr,2010-05-25,2010-07-15,bhill
2010,barr,2010-05-26,2010-07-31,rdugan
2010,barr,2010-05-25,2010-07-31,adoll
2010,barr,2010-05-25,2010-07-31,abankert
2010,barr,2010-05-25,2010-07-31,yhhsu
2010,barr,2010-06-01,2010-08-10,myyang
2010,bylo,2010-06-01,2010-07-19,echalifour
2010,bylo,2010-06-01,2010-08-05,jflamarre
2010,bylo,2010-06-05,2010-08-20,pbertrand
2010,cakr,2010-06-10,2010-06-29,sbuckell
2010,cari,2010-06-24,2010-06-28,skendall
2010,cari,2010-06-03,2010-06-09,skendall
2010,cari,2010-06-24,2010-07-07,abaltensperger
2010,cari,2010-06-03,2010-06-24,bharrington
2010,cari,2010-06-03,2010-06-24,mmcgarvey
2010,cari,2010-06-03,2010-06-24,sbrown
2010,cari,2010-06-04,2010-07-07,ecorp
2010,cari,2010-06-03,2010-07-11,cwoodworth
2010,cari,2010-06-03,2010-07-11,hcraig
2010,cari,2010-06-03,2010-07-11,sfreeman
2010,chur,2010-06-01,2010-06-17,lmckinnon
2010,chur,2010-06-18,2010-07-26,jrjulian
2010,chur,2010-06-01,2010-07-26,frousseaux
2010,chur,2010-06-08,2010-08-03,nsenner
2010,chur,2010-06-01,2010-07-27,ajohnson
2010,chur,2010-06-04,2010-08-01,jcoughlan
2010,chur,2010-05-25,2010-07-22,bwalker
2010,chur,2010-05-25,2010-07-27,sbillerman
2010,chur,2010-05-14,2010-08-12,acorkery
2010,eaba,2010-06-02,2010-06-23,dedwards
2010,eaba,2010-06-02,2010-06-23,psmith
2010,eaba,2010-06-02,2010-07-25,atufts
2010,eaba,2010-06-02,2010-07-25,dmcgeachy
2010,eaba,2010-06-02,2010-07-25,kbertrand
2010,eaba,2010-06-02,2010-07-25,mchown
2010,ikpi,2010-06-21,2010-06-22,jliebezeit
2010,ikpi,2010-06-08,2010-06-20,jliebezeit
2010,ikpi,2010-06-04,2010-07-06,jliebezeit
2010,ikpi,2010-06-09,2010-07-13,amines
2010,ikpi,2010-06-09,2010-07-13,cbishop
2010,ikpi,2010-06-09,2010-07-13,csmith
2010,ikpi,2010-06-09,2010-07-13,kpietrzak
2010,ikpi,2010-06-09,2010-07-13,mmudge
2010,ikpi,2010-06-09,2010-07-13,ncook
2010,ikpi,2010-06-09,2010-07-13,vjirinec
2010,ikpi,2010-06-09,2010-07-17,jkelso
2010,ikpi,2010-06-09,2010-07-17,lyen
2010,ikpi,2010-06-04,2010-07-18,aperry
2010,ikpi,2010-06-04,2010-07-18,brobinson1
2010,ikpi,2010-06-04,2010-07-18,zlebrunsouthcott
2010,made,2010-06-09,2010-06-15,cgrattotrevor
2010,made,2010-06-29,2010-07-07,sskinner
2010,made,2010-06-10,2010-06-29,sbuckell
2010,made,2010-06-09,2010-07-07,knuyaviak
2010,made,2010-06-09,2010-07-07,kjones
2010,nome,2010-06-15,2010-07-15,tstclair
2010,nome,2010-05-11,2010-06-23,ijong
2010,nome,2010-05-11,2010-06-23,nhentze
2010,prba,2010-06-21,2010-06-22,jliebezeit
2010,prba,2010-06-08,2010-06-20,jliebezeit
2010,prba,2010-06-04,2010-07-06,jliebezeit
2010,prba,2010-06-09,2010-07-13,amines
2010,prba,2010-06-09,2010-07-13,cbishop
2010,prba,2010-06-09,2010-07-13,csmith
2010,prba,2010-06-09,2010-07-13,kpietrzak
2010,prba,2010-06-09,2010-07-13,mmudge
2010,prba,2010-06-09,2010-07-13,ncook
2010,prba,2010-06-09,2010-07-13,vjirinec
2010,prba,2010-06-09,2010-07-17,jkelso
2010,prba,2010-06-09,2010-07-17,lyen
2010,prba,2010-06-04,2010-07-18,aperry
2010,prba,2010-06-04,2010-07-18,brobinson1
2010,prba,2010-06-04,2010-07-18,zlebrunsouthcott
2011,barr,2011-06-24,2011-07-01,dkesler
2011,barr,2011-06-27,2011-07-02,ssaalfeld
2011,barr,2011-06-20,2011-07-01,abankert
2011,barr,2011-06-20,2011-07-05,rlanctot
2011,barr,2011-05-30,2011-06-14,abankert
2011,barr,2011-05-27,2011-07-10,bhill
2011,barr,2011-06-01,2011-08-01,jzamuido
2011,barr,2011-05-27,2011-07-28,adoll
2011,barr,2011-06-04,2011-08-06,rlanctot
2011,barr,2011-05-28,2011-08-01,pherzog
2011,barr,2011-05-27,2011-08-01,jcunningham
2011,bylo,2011-06-20,2011-07-19,echalifour
2011,bylo,2011-06-01,2011-08-05,jflamarre
2011,bylo,2011-06-01,2011-08-05,jotis
2011,bylo,2011-06-01,2011-08-21,lpaquette
2011,cari,2011-06-14,2011-06-25,mboldenow
2011,cari,2011-06-02,2011-06-09,sbrown
2011,cari,2011-06-02,2011-06-14,ecorp
2011,cari,2011-06-02,2011-06-14,ohicks
2011,cari,2011-06-02,2011-06-14,sfreeman
2011,cari,2011-06-09,2011-06-25,rchurchwell
2011,cari,2011-06-02,2011-06-25,bwinn
2011,cari,2011-06-02,2011-06-25,rburner
