Abbreviation,Name
 ajohnson,Alexandra Johnson
 asmith,Alex Smith
 chojnowski,Conrad Hojnowski
 cmurchison,Carol Murchison
 eames,Erica Ames
 ematsyna,Esmeralda Matsyna
 epayne,Eric Payne
 fsmith,Fanny Smith
 jpanipak,Jeanette Panipak
 jzamudio,Jason Zamudio
 kbeckmann,Karen Beckmann
 kshiemrief,Kendrick Shiemrief
 ojames,Orlando James
 pherzog,Peter Herzog
 skolbe,Sarah Kolbe
acook,Arnold Cook
agleizer,Albert Gleizer
apham,Aristot P. Ham
brobinson,Bert Robinson
chelms,Charlie Helms
dleandribreton,Daniel Leandribreton
epalm,Ernest Palm
flin,Finley Lin
jwright,Jared Wright
lpadegimas,Leon Padegimas
lrensel,Lara Rensel
mgiroux,Mathieu Giroux
mmcconell,Marc McConell
mobldenow,Maude Obldenow
mtpaquet,Monica T. Paquet
