Observer,Abbreviation,Name
 ajohnson, ajohnson,NA
 asmith, asmith,NA
 chojnowski, chojnowski,NA
 cmurchison, cmurchison,NA
 eames, eames,NA
 ematsyna, ematsyna,NA
 epayne, epayne,NA
 fsmith, fsmith,NA
 jpanipak, jpanipak,NA
 jzamudio, jzamudio,NA
 kbeckmann, kbeckmann,NA
 kshiemrief, kshiemrief,NA
 ojames, ojames,NA
 pherzog, pherzog,NA
 skolbe, skolbe,NA
ALL,ALL,NA
acook,acook,NA
agleizer,agleizer,NA
apham,apham,NA
bad weather day,bad weather day,NA
brobinson,brobinson,NA
chelms,chelms,NA
crew1,crew1,NA
crew2,crew2,NA
dleandribreton,dleandribreton,NA
eames,eames,NA
ematsyna,ematsyna,NA
epalm,epalm,NA
flin,flin,NA
jwright,jwright,NA
jzamudio,jzamudio,NA
kschiemrief,kschiemrief,NA
lpadegimas,lpadegimas,NA
lrensel,lrensel,NA
mgiroux,mgiroux,NA
mmcconell,mmcconell,NA
mobldenow,mobldenow,NA
mtpaquet,mtpaquet,NA
