Year,Site,Date,Jdate,Start_time,End_time,Hours,Count_type,Species,Count,Num_observers,Nests_or_dens,Team_count,Observer
2012,cakr,2004-06-12,156,10:35:00,17:00:00,6.42,est,glgu,84,1,0,n,lpadegimas
2014,ikpi,2005-07-14,186,09:15:00,13:40:00,4.42,exact,ltja,1,1,0,n,mdodds
2013,prba,2021-06-13,172,09:30:00,15:30:00,6,exact,arte,1,1,0,n,chelms
2013,bylo,2019-08-13,231,18:00:00,19:00:00,1,exact,glgu,1,1,0,n,dleandribreton
2013,bylo,2019-08-13,231,18:00:00,19:00:00,1,exact,sacr,3,1,0,n,dleandribreton
2013,bylo,2018-08-13,230,18:30:00,19:00:00,0.5,exact,glgu,1,1,0,n,dleandribreton
2013,bylo,2018-08-13,230,18:30:00,19:00:00,0.5,exact,sacr,2,1,0,n,dleandribreton
2013,bylo,2017-08-13,229,18:30:00,19:30:00,1,exact,glgu,4,1,0,n,dleandribreton
2013,bylo,2017-08-13,229,18:30:00,19:30:00,1,exact,sacr,4,1,0,n,dleandribreton
2013,bylo,2016-08-13,228,12:00:00,13:30:00,1.5,exact,glgu,6,1,0,n,dleandribreton
2013,bylo,2016-08-13,228,12:00:00,13:30:00,1.5,exact,sacr,1,1,0,n,dleandribreton
2013,bylo,2015-08-13,227,17:00:00,19:00:00,2,exact,cora,1,1,0,n,dleandribreton
2013,bylo,2015-08-13,227,17:00:00,19:00:00,2,exact,glgu,4,1,0,n,dleandribreton
2013,bylo,2015-08-13,227,17:00:00,19:00:00,2,exact,sacr,1,1,0,n,dleandribreton
2013,bylo,2014-08-13,226,10:00:00,12:00:00,2,exact,glgu,1,1,0,n,dleandribreton
2013,bylo,2014-08-13,226,10:00:00,12:00:00,2,exact,gyrf,1,1,0,n,dleandribreton
2013,bylo,2014-08-13,226,10:00:00,12:00:00,2,exact,sacr,2,1,0,n,dleandribreton
2013,bylo,2013-08-13,225,18:30:00,20:30:00,2,exact,cora,1,1,0,n,dleandribreton
2013,bylo,2013-08-13,225,18:30:00,20:30:00,2,exact,glgu,2,1,0,n,dleandribreton
2013,bylo,2013-08-13,225,18:30:00,20:30:00,2,exact,sacr,4,1,0,n,dleandribreton
2013,bylo,2012-08-13,224,10:00:00,16:30:00,6.5,exact,glgu,1,1,0,n,dleandribreton
2013,bylo,2012-08-13,224,10:00:00,16:30:00,6.5,exact,sacr,2,1,0,n,dleandribreton
2013,bylo,2011-08-13,223,18:00:00,20:00:00,2,exact,arfo,1,1,0,n,dleandribreton
2013,bylo,2011-08-13,223,18:00:00,20:00:00,2,exact,glgu,1,1,0,n,dleandribreton
2013,bylo,2011-08-13,223,18:00:00,20:00:00,2,exact,sacr,2,1,0,n,dleandribreton
2013,bylo,2010-08-13,222,10:00:00,17:00:00,7,exact,arfo,1,1,0,n,dleandribreton
