Abbreviation,Name
cornell,Courtney Ornell
abeardsell,Antoine Beardsell
abourbeaulemieux,Ariane Bourbeau-Lemieux
abrissette,Audrey Brissette
aguerettemontminy,Alexis Guerette-Montminy
ajonhson,Aaron Johnson
akprimeau,Alexander Primeau
alauzon,Avril Lauzon
amichon,Alix Michon
amylnikova,Anastasia Mylnikova
arobillard,Alexandre Robillard
ashling,Ashley Shling
atarroux,Arnould Tarroux
ataylor,Anya Taylor
aveillette,Antoine Veillette
bcurry,Brandon Curry
bhaase,Benjamin Haase
bksandercock,Brett Sandercock
blewis,Bradley Lewis
boadway,Brian Oadway
boadways,Benjamin Oadways
brissette,Bernard Rissette
bschwarz,Bernhard Schwarz
btremblay,Benoit Tremblay
burle,Bertrand Urle
cbalthazar,Charles Balthazar
ccameron,Charlie Cameron
celverum,Cole Elverum
cgalasso,Claudia Galasso
cgovernali,Carlo Governali
chenry,Charles Henry
chiang,Charles Chiang
choi,Christina Choi
cmorin,Camille Morin
coutsoubos,Courtney Outsoubos
cruiz,Carlos Ruiz
crutt,Calvin Rutt
ctrevor,Claire Trevor
cychiang,Catherine Chiang
dduchesne,Dominique Duchesne
denega,Dimitri Enega
dfauteux,Dominic Fauteux
dgaspard,Daniel Gaspard
dleandribreton,Delphine Leandri-Breton
dootoova,David Ootoova
dosipov,Denis Osipov
druthrauff,Dereck Ruthrauff
dsolovyeva,Daisy Solovieva
dtaylor,Danny Taylor
ebkwon,Edourad Kwon
ehsu,Eric Hsu
ejones,Ethan Jones
ekistler,Emily Kistler
elevesque,Etienne Levesque
esoininen,Elmo Soininen
etremblay,Emile Tremblay
fbilodeau,Fergi Bilodeau
fchevreux,Forest Chevreux
fdulude,Francis Dulude
flapierrepoulin,Florence Lapierre-Poulin
fontaine,Fabien Ontaine
frousseu,Freddy Rousseu
ganx,Gabriel Anx
gates,Garrett Ates
ggauthier,Gilles Gauthier
gletourneau,Gabriel Letourneau
gmontgomery,George Montgomery
gmontpetitallard,Guillaume Montpetit-Allard
gouelletcauchon,Gwen OuelleCauchon
gpavlyukov,Gordon Pavlyukov
gsoloviev,Grigory Soloviev
gsouchay,Guillaume Souchay
haase,Hans Aase
hkristenson,Hannah Kristenson
hmailhotcouture,Hugo Mailhot-Couture
hmeltofte,Hans Meltofte
hspecht,Harriette Specht
ipratte,Isabelle Pratte
jaldabe,Javier Aldabe
jboadway,Jason Boadway
jchoi,Jeong Choi
jcoffey,Joseph Coffey
jfrenette,Jean Frenette
jlamarre,Jenny Lamarre
jlefebvre,Joaquin Lefebvre
jlibezeit,Joe Libezeit
jmenard,Julien Menard
jootoova,Jacob Ootoova
jrausch,John Rausch
jtherien,Johnny Therien
jtherrien,Jeremy Therrien
juillerat,Jean Uillerat
kboadway,Kevin Boadway
krueper,Klaus Rueper
kward,Karen Ward
larned,Lucas Arned
lebouard,Laurent Ebouard
lmkinnon,Liam McKinnon
lsavoy,Lucas Savoy
mavaliquette,Mathieu Valiquette
mcmartin,Matthew Martin
mdeladurantaye,Marc Deladurantaye
mdoiron,Maxime Doiron
mettuvgy,Matthew Ettuvgy
mgrahamsauve,Mathilde Graham-Sauve
mjrioux,Mark Jrioux
mkpeck,Meryl Kpeck
mmorrissette,Marc Morrissette
moakes,Morgan Oakes
morgan,Matt Morgan
msoloviev,Mikhail Soloviev
mtremblay,Marcel Tremblay
myang,Michelle Yang
naves,Nathan Aves
nbradette,Nicolas Bradette
nburrell,Noah Burrell
ngruyer,Nicolas Gruyer
norwood,Neil Orwood
nwilder,Nathan Wilder
pbouchard,Patrick Bouchard
phsu,Penelope Hsu
pmickelson,Paul Mickelson
pmorissette,Pierre Morissette
pylherault,Paul Ylherault
ramster,Ryan Amster
rankin,Robert Ankin
scoulombe,Sebastien Coulombe
sdescamps,Scarlett Descamps
selvidge,Steven Elvidge
ssapora,Samuel Sapora
sshulte,Steffen Schulte
strait,Samuel Trait
syezerinac,Steve Yezerinac
taylor,Thomas Aylor
teltscher,Tobias Eltscher
thomas,Timothy Homas
tnoah,Timothy Noah
trask,Travis Rask
vduclos,Victor Duclos
vgolovnyuk,Viktor Golovnyuk
vlamarre,Vanessa Lamarre
vmarmillot,Valentin Marmillot
yseyer,Yann Seyer
