Abbreviation,Name
lmckinnon,Laura McKinnon
blaliberte,Benoît Laliberté
ljolicoeur,Ludovic Jolicoeur
edastous,Émilie D'Astous
mpatenaudemonette,Martin Patenaude-Monette
jflamarre,Jean-François Lamarre
lmercier,Léonie Mercier
mwunder,Michael B. Wunder
loring,Lewis W. Oring
rlanctot,Richard B. Lanctot
cjoseruizguerra,Carlos Jose Ruiz Guerra
bhill,Brooke L. Hill
rdugan,Ronan A. Dugan
adoll,Andrew C. Doll
abankert,Andrew R. Bankert
yhhsu,Yu-Hsun Hsu (Echo)
myyang,Man-Yu Yang (Mona)
echalifour,Émilie Chalifour
pbertrand,Philippe Bertrand
sbuckell,Simon Buckell
skendall,Steve Kendall
abaltensperger,Andy Baltensperger
bharrington,Brian Harrington
mmcgarvey,Metta McGarvey
sbrown,Stephen Brown
ecorp,Edward Corp
cwoodworth,Chelsea Woodworth
hcraig,Heather Craig
sfreeman,Scott Freeman
jrjulian,Jean-Remi Julian
frousseaux,Francois Rousseaux
nsenner,Nathan R. Senner
ajohnson,Andrew S. Johnson
jcoughlan,Jennifer Coughlan
bwalker,Bradley M. Walker
sbillerman,Shawn M. Billerman
acorkery,Anne Corkery
dedwards,Darryl Edwards
psmith,Paul Smith
atufts,Ashley Tufts
dmcgeachy,Dave McGeachy
kbertrand,Kyle Bertrand
mchown,Melanie Chown
jliebezeit,Joe Liebezeit
amines,Anaka Mines
cbishop,Caitlyn Bishop
csmith,Chris Smith
kpietrzak,Kevin Pietrzak
mmudge,McKenzie Mudge
ncook,Nicole Cook
vjirinec,Vitek Jirinec
jkelso,Julie Kelso
lyen,Leslie Yen
aperry,Andrew Perry
zlebrunsouthcott,Zoe Lebrun-Southcott
cgrattotrevor,Cheri Gratto-Trevor
sskinner,Shelby Skinner
knuyaviak,Kayla Nuyaviak
kjones,Kim Jones
tstclair,Toby St. Clair
ijong,Ian Jong
nhentze,Nathan Hentze
dkesler,Dylan Kesler
ssaalfeld,Sarah Saalfeld
jzamuido,Jeisson Zamuido
pherzog,Patrick Herzog
jcunningham,Jenny Cunningham
jotis,JoséAnne Otis
lpaquette,Laurence Paquette
mboldenow,Megan Boldenow
ohicks,Olivia Hicks
rchurchwell,Roy Churchwell
bwinn,Brad Winn
rburner,Ryan Burner
clishman,Carmen Lishman
hbatcheller,Hope Batcheller
mmcconnell,Madison McConnell
hspecht,Hannah Specht
bwilkinson,Bradley Wilkinson
cmorcos,Camila Morcos
mmccloskey,Meagan McCloskey
mvezina,Melanie Vezina
mharing,Michaela Haring
kkardynal,Kevin Kardynal
vamarualik,Valerie Amarualik
lpirie,Lisa Pirie
mmichaud,Matt Michaud
sfranks,Samantha Franks
bsandercock,Brett K. Sandercock
dlank,David B. Lank
tesson,Tommy Esson
mwilson,Melanie Wilson
wenglish,Willow English
eescajeda,Erica Escajeda
ekwon,Eunbi Kwon
chojnowski,Cheryl Hojnowski
skolbe,Steve Kolbe
dsaalfeld,Dave Saalfeld
bverheijen,Bram Verheijen
kgrond,Kirsten Grond
dfillman,Don Fillman
jbrunjes,John Brunjes
kabraham,Ken Abraham
kbennett,Kim Bennett
mpeck,Mark Peck
mburrell,Mike Burrell
jiron,Jean Iron
jsauer,Jim Sauer
jbelliveau,Julie Belliveau
mbirarda,Matt Birarda
cdoucet,Catherine Doucet
fsenezgagnon,Fanny Senez Gagnon
proyerboutin,Pascal Royer-Boutin
djleandry,Don-Jean Léandry
mtrudel,Marion Trudel
mvanderheyden,Madeline Vander Heyden
rgates,River Gates
svissault,Steve Vissault
mlafaver,Mark Lafaver
epierce,Elin Pierce
idavies,Ian Davies
akneidel,Alan Kneidel
lkoloski,Laura Koloski
asoto,Alfredo Soto
gsolovyev,Grigory Solovyev
vkokhanova,Vera Kokhanova
mettuvgii,Mikhail Ettuvgii
gdanilov,Gleb Danilov
gpavlukov,Georgy Pavlukov
svartanyan,Sergey Vartanyan
enol,Erica Nol
fsanders,Felicia Sanders
mjones,Mary Jones
dgough,Danielle Gough
clahoda,Candace Lahoda
cbrunner,Christina Brunner
jperz,Johanna Perz
jhupp,Jerry Hupp
msmith,Matt Smith
vbaranyuk,Vasily Baranyuk
dward,David Ward
jkorol,Jaimlyn Korol
dpavlik,David Pavlik
khogrefe,Kyle Hogrefe
tdonnelly,Tyrone Donnelly
ggilchrist,Grant Gilchrist
akatalukprimeau,Alannah Kataluk-Primeau
kaward,Kara-Anne Ward
nmanintveld,Naomi Man in 't Veld
apopovkina,Anastasia Popovkina
gsedash,Gleb Sedash
jpanipak,Joanna Panipak
asmith,Angus Smith
fsmith,Fletcher Smith
kbeckmann,Kristina Beckmann
aguerra,Ana Guerra
dhodkinson,David Hodkinson
cpham,Catherine Pham
jlautenbach,Jonathan Lautenbach
jwebber,Julie Webber
amould,Anthony Mould
jdanby,Julie Danby
vloverti,Vanessa Loverti
bkaselow,Billy Kaselow
lrenzel,Leah Renzel
fstetler,Frank Stetler
estroud,Eric Stroud
zharris,Zack Harris
nkirby,Nathan Kirby
shart,Steve Hart
jcaville,James Caville
ereed,Eric Reed
jbety,Joël Bêty
tfarrugia,Thomas Farrugia
rhunnewell,Robin Hunnewell
jkardiak,Jennifer Kardiak
fylin,Fang-Yee Lin
abradley,Adam Bradley
bhiggins,Brendan Higgins
hhelling,Heidi Helling
aunknown,Anja Unknown
rhildebrandt,Reid Hildebrandt
dturner,Devin Turner
mheung,Mary Heung
canderson,Christine Anderson
jhixon,Jerrid Hixon
epero,Ellen Pero
rharned,Ronnie Harned
scarvey,Shannon Carvey
lpollock,Lisa Pollock
egirard,Eloise Girard
sjeswiet,Sarah Jeswiet
nboulangerlapointe,Noémie Boulanger-Lapointe
gszor,Guillaume Szor
mqrunnut,Mike Qrunnut
magiroux,Marie-Andrée Giroux
ojames,Oliver James
anicolecook,Ashley Nicole Cook
epayne,Elizabeth Payne
jloshchagina,Julya Loshchagina
gmccune,Gennyne McCune
abuckley,Alvan Buckley
lbachellier,Lisa Bachellier
dborden,Diane Borden
triecke,Thomas Riecke
cdavis,Caitlin Davis
kkalasz,Kevin Kalasz
tdoyle,Terry Doyle
mballvanzee,Michelangelo Ballvanzee
asterling,Abby Sterling
jmarin,Javier Marin
mallen,Mike Allen
ssheedy,Sydney Sheedy
sbennett,Steve Bennett
mgibson,Mark Gibson
gracey,Gerry Racey
bdalziel,Bronwyn Dalziel
dmcrae,Doug McRae
mevers,Michael Evers
rnakoochee,Roberta Nakoochee
jeschenroeder,Jackman Eschenroeder
jhughey,Jared Hughey
mcorrell,Maureen Correll
cmontgomerie,Claire Montgomerie
emagnuson,Emily Magnuson
jdiener,John Diener
lgoodrick,Lizzie Goodrick
amatsyna,Alexader Matsyna
