Abbreviation,Name
abaltensperger,Andy Baltensperger
abankert,Andrew R. Bankert
abradley,Adam Bradley
abuckley,Alvan Buckley
acook,Arnold Cook
acorkery,Anne Corkery
adoll,Andrew C. Doll
agleizer,Albert Gleizer
agottesman,Aaron Gottesman
aguerra,Ana Guerra
aissisgaitok,Albert Issisgaitok
ajohnson,Andrew S. Johnson
akatalukprimeau,Alannah Kataluk-Primeau
akneidel,Alan Kneidel
amatsyna,Alexader Matsyna
amines,Anaka Mines
amould,Anthony Mould
anicolecook,Ashley Nicole Cook
aperry,Andrew Perry
apham,Aristot P. Ham
apopovkina,Anastasia Popovkina
asmith,Angus Smith
asoto,Alfredo Soto
asterling,Abby Sterling
ataqtaq,Amanda Taqtaq
atufts,Ashley Tufts
aunknown,Anja Unknown
bdalziel,Bronwyn Dalziel
bharrington,Brian Harrington
bhiggins,Brendan Higgins
bhill,Brooke L. Hill
bkaselow,Billy Kaselow
blaliberte,Benoît Laliberté
brobinson,Bert Robinson
brobinson1,Brian Robinson
brobinson2,Bryce Robinson
bsandercock,Brett K. Sandercock
bverheijen,Bram Verheijen
bwalker,Bradley M. Walker
bwilkinson,Bradley Wilkinson
bwinn,Brad Winn
canderson,Christine Anderson
cbishop,Caitlyn Bishop
cbrunner,Christina Brunner
cdavis,Caitlin Davis
cdoucet,Catherine Doucet
cgrattotrevor,Cheri Gratto-Trevor
chelms,Charlie Helms
chojnowski,Cheryl Hojnowski
cjoseruizguerra,Carlos Jose Ruiz Guerra
clahoda,Candace Lahoda
clishman,Carmen Lishman
cmontgomerie,Claire Montgomerie
cmorcos,Camila Morcos
cmurchison,Colleen Murchison
codwyer,Carol O'Dwyer
cpham,Catherine Pham
csmith,Chris Smith
cwoodworth,Chelsea Woodworth
dattagutaluk,David Attagutaluk
dborden,Diane Borden
dedwards,Darryl Edwards
dfillman,Don Fillman
dgough,Danielle Gough
dhodkinson,David Hodkinson
djleandry,Don-Jean Léandry
dkesler,Dylan Kesler
dlank,David B. Lank
dleandribreton,Daniel Leandribreton
dmcgeachy,Dave McGeachy
dmcrae,Doug McRae
dpavlik,David Pavlik
dsaalfeld,Dave Saalfeld
dturner,Devin Turner
dward,David Ward
eames,Ernest Palm
echalifour,Émilie Chalifour
ecorp,Edward Corp
edastous,Émilie D'Astous
eescajeda,Erica Escajeda
egirard,Eloise Girard
ekwon,Eunbi Kwon
emagnuson,Emily Magnuson
ematsyna,Esmeralda Matsyna
enol,Erica Nol
epalm,Ernest Palm
epayne,Elizabeth Payne
epero,Ellen Pero
epierce,Elin Pierce
ereed,Eric Reed
estroud,Eric Stroud
eweiser,Emily Weiser
flin,Finley Lin
frousseaux,Francois Rousseaux
fsanders,Felicia Sanders
fsenezgagnon,Fanny Senez Gagnon
fsmith,Fletcher Smith
fstetler,Frank Stetler
fylin,Fang-Yee Lin
gdanilov,Gleb Danilov
ggilchrist,Grant Gilchrist
gholmes,Gillian Holmes
gmccune,Gennyne McCune
gpavlukov,Georgy Pavlukov
gracey,Gerry Racey
gsedash,Gleb Sedash
gsolovyev,Grigory Solovyev
gszor,Guillaume Szor
hbatcheller,Hope Batcheller
hcraig,Heather Craig
hhelling,Heidi Helling
hspecht,Hannah Specht
idavies,Ian Davies
ijong,Ian Jong
