Site,Year,Habitat,Collection_Method,Date,Replicate,Taxon,Stage,Insect,Origin,Higher_classification,Order,Family,Common_name,Abundance,Biomass
barr,2010,aquatic,bottle trap,23-Jun-10,1,Acari,U,non-insect,Aquatic,Arachnida: Acari,x,x,mites,3,0.251695947
barr,2010,aquatic,bottle trap,23-Jun-10,1,Dytiscidae,A,insect,Aquatic,Arthropoda: Insecta,Coleoptera,Dytiscidae,predaceous diving beetles,1,1.419863915
barr,2010,aquatic,bottle trap,26-Jun-10,1,Copepoda,U,non-insect,Aquatic,Crustacea: Copepoda,x,x,copepods,22,0.649982304
barr,2010,aquatic,bottle trap,26-Jun-10,1,Chironomidae,L,insect,Aquatic,Arthropoda: Insecta,Diptera,Chironomidae,midges,7,0.508094208
barr,2010,aquatic,bottle trap,26-Jun-10,1,Acari,U,non-insect,Aquatic,Arachnida: Acari,x,x,mites,11,0.951939125
barr,2010,aquatic,bottle trap,26-Jun-10,1,Dytiscidae,A,insect,Aquatic,Arthropoda: Insecta,Coleoptera,Dytiscidae,predaceous diving beetles,1,2.662724195
barr,2010,aquatic,bottle trap,29-Jun-10,1,Copepoda,U,non-insect,Aquatic,Crustacea: Copepoda,x,x,copepods,15,0.295120747
barr,2010,aquatic,bottle trap,29-Jun-10,1,Chironomidae,L,insect,Aquatic,Arthropoda: Insecta,Diptera,Chironomidae,midges,4,0.195178336
barr,2010,aquatic,bottle trap,29-Jun-10,1,Acari,U,non-insect,Aquatic,Arachnida: Acari,x,x,mites,8,0.607948866
barr,2010,aquatic,bottle trap,29-Jun-10,1,Dytiscidae,A,insect,Aquatic,Arthropoda: Insecta,Coleoptera,Dytiscidae,predaceous diving beetles,3,10.39758982
barr,2010,aquatic,bottle trap,29-Jun-10,1,Physidae,U,non-insect,Aquatic,Mollusca: Gastropoda,x,Physidae,snails,1,4.740909047
barr,2010,aquatic,bottle trap,2-Jul-10,1,Copepoda,U,non-insect,Aquatic,Crustacea: Copepoda,x,x,copepods,22,0.411857508
barr,2010,aquatic,bottle trap,2-Jul-10,1,Chironomidae,L,insect,Aquatic,Arthropoda: Insecta,Diptera,Chironomidae,midges,3,0.096816808
barr,2010,aquatic,bottle trap,2-Jul-10,1,Acari,U,non-insect,Aquatic,Arachnida: Acari,x,x,mites,4,0.369853245
barr,2010,aquatic,bottle trap,2-Jul-10,1,Dytiscidae,A,insect,Aquatic,Arthropoda: Insecta,Coleoptera,Dytiscidae,predaceous diving beetles,2,6.931726546
barr,2010,aquatic,bottle trap,5-Jul-10,1,Copepoda,U,non-insect,Aquatic,Crustacea: Copepoda,x,x,copepods,25,0.392245016
